source,role_search,title,company,experience,salary,salary_min,salary_max,salary_avg,location,skills_raw,description,posted_date,company_rating,job_url,scraped_at,exp_years,salary_tier,role,level,city,work_mode,skills,skill_count,has_salary
Naukri,business analyst,Business Analyst,Ion Exchange,2-4 Yrs,,,,,Mumbai (All Areas),Gap Analysis | Market Research | Business Analysis | Requirement Gathering | Requirement Analysis | Marketing | Research | Gap,,6 days ago,3.7,https://www.naukri.com/job-listings-business-analyst-ion-exchange-mumbai-all-areas-2-to-4-years-201125022019,2026-06-04T16:01:31.915293,2.0,Not Disclosed,Business Analyst,Fresher/Junior,Mumbai,Onsite,[],0,0
Naukri,business analyst,Business Analyst,G4S,5-10 Yrs,,,,,Remote,Project Management | IT Project Management | Stakeholder Management | Delivery Management | IT management | Business analysis | IT projects | Management,,2 days ago,4.0,https://www.naukri.com/job-listings-business-analyst-g4s-gurugram-5-to-10-years-110326036916,2026-06-04T16:01:31.915681,5.0,Not Disclosed,Business Analyst,Mid-Level,Remote,Remote,[],0,0
Naukri,business analyst,Business Analyst,Angel One,4-6 Yrs,,,,,Hybrid - Mumbai(Andheri East),Business Analytics | Tableau | SQL | Python | Analytics | Business analysis,,Today,3.5,https://www.naukri.com/job-listings-business-analyst-angel-one-mumbai-4-to-6-years-040626008631,2026-06-04T16:01:31.916091,4.0,Not Disclosed,Business Analyst,Mid-Level,Mumbai,Hybrid,"['python', 'sql', 'tableau']",3,0
Naukri,business analyst,Business Analyst,Matrimony com,2-5 Yrs,,,,,Chennai,Business Analytics | Business Insights | Dashboard Development | SQL | Python | Business analysis | Business Insight | Development,,Few hours ago,3.9,https://www.naukri.com/job-listings-business-analyst-matrimony-com-chennai-2-to-5-years-020526006552,2026-06-04T16:01:31.916477,2.0,Not Disclosed,Business Analyst,Fresher/Junior,Chennai,Onsite,"['python', 'sql']",2,0
Naukri,business analyst,BUSINESS ANALYST,Godigi Infotech,0-1 Yrs,,,,,Mumbai,Business Analyst | Business analysis,,2 weeks ago,2.4,https://www.naukri.com/job-listings-business-analyst-godigi-infotech-mumbai-0-to-1-years-061123500783,2026-06-04T16:01:31.916810,0.0,Not Disclosed,Business Analyst,Fresher/Junior,Mumbai,Onsite,[],0,0
Naukri,business analyst,Business Analyst - Manufacturing,Leading MNC into Steam Manufacturing,6-11 Yrs,,,,,Chennai,Business Analyst | Business Analytics | Azure Solution Architect | Data Analytics | Manufacturing | Microsoft Azure | Business analysis | Analytics,,Just now,,https://www.naukri.com/job-listings-business-analyst-manufacturing-nexus-manpower-solutions-chennai-6-to-11-years-040626023184,2026-06-04T16:01:31.917215,6.0,Not Disclosed,Business Analyst,Senior,Chennai,Onsite,['azure'],1,0
Naukri,business analyst,Business Analyst,Nik Baker's,3-7 Yrs,,,,,Mohali,Business Analytics | Business Analysis | SQL | Analytics | Analysis,,1 day ago,3.2,https://www.naukri.com/job-listings-business-analyst-nik-baker-s-mohali-3-to-7-years-030626018471,2026-06-04T16:01:31.917605,3.0,Not Disclosed,Business Analyst,Mid-Level,Other,Onsite,['sql'],1,0
Naukri,business analyst,Business Analyst,Vistex Asia Pacific,4-7 Yrs,,,,,Hyderabad,Gap Analysis | Business Analytics | Requirement Gathering | FRD | Implementation | BRD | Business analysis | Analytics,,1 day ago,3.7,https://www.naukri.com/job-listings-business-analyst-vistex-asia-pacific-hyderabad-4-to-7-years-030626023024,2026-06-04T16:01:31.917985,4.0,Not Disclosed,Business Analyst,Mid-Level,Hyderabad,Onsite,[],0,0
Naukri,business analyst,Business Analyst,Workiy Technologies,0-3 Yrs,,,,,Remote,Order management | Nursing | Pharmacy | Healthcare | Senior Business Analyst | Scheduling | MS Office | JIRA,,1 day ago,4.8,https://www.naukri.com/job-listings-business-analyst-workiy-inc-remote-0-to-3-years-020626503551,2026-06-04T16:01:31.918364,0.0,Not Disclosed,Business Analyst,Fresher/Junior,Remote,Remote,[],0,0
Naukri,business analyst,Business Analyst,Tech Mahindra,5-10 Yrs,,,,,Hybrid - Chennai,Business Analytics | Business Analysis | Requirement Gathering | Analytics | Requirements | Analysis,,1 day ago,3.4,https://www.naukri.com/job-listings-business-analyst-tech-mahindra-chennai-5-to-10-years-020626027500,2026-06-04T16:01:31.918728,5.0,Not Disclosed,Business Analyst,Mid-Level,Chennai,Hybrid,[],0,0
